Series ID,ndemplsa,ndlfprsa,gfemplnsa,ndemplnsa,ndlfprnsa
"Nov
2021",400644,68.8,52308,399214,68.2
"Dec
2021",402331,69.0,51819,396872,67.9
"Jan
2022",403890,69.2,52091,396179,68.3
"Feb
2022",405212,69.4,52461,398899,68.7
"Mar
2022",406114,69.4,52426,401243,69.1
"Apr
2022",406589,69.4,52398,403378,68.9
"May
2022",406590,69.4,52669,408434,69.5
"Jun
2022",406298,69.3,52404,411542,70.4
"Jul
2022",405754,69.1,53052,413285,70.4
"Aug
2022",405254,69.1,52334,411924,70.2
"Sep
2022",405014,69.0,52795,409972,69.5
"Oct
2022",405102,69.0,53150,408509,69.1
"Nov
2022",405440,69.1,52812,402928,68.3
"Dec
2022",405780,69.1,52504,400664,68.1
"Jan
2023",406091,69.1,53047,398918,68.2
"Feb
2023",406567,69.2,53223,401602,68.7
"Mar
2023",407857,69.3,53461,405698,69.3
"Apr
2023",409357,69.6,53459,409961,69.7
"May
2023",410492,69.7,53323,413129,70.0
"Jun
2023",410856,69.7,53011,414591,70.5
"Jul
2023",410919,69.7,53418,416579,70.5
"Aug
2023",410481,69.5,53189,414197,69.9
"Sep
2023",409975,69.3,53489,413014,69.5
"Oct
2023",409329,69.2,53874,410580,69.1
"Nov
2023",409148,69.1,53594,406377,68.4
"Dec
2023",408967,69.1,,402128,67.8
,,,,,
